"_id__$oid","bonusPointsEarned","bonusPointsEarnedReason","createDate__$date","dateScanned__$date","finishedDate__$date","modifyDate__$date","pointsAwardedDate__$date","pointsEarned","purchaseDate__$date","purchasedItemCount","rewardsReceiptItemList__deleted","rewardsReceiptItemList__brandCode","rewardsReceiptItemList__competitorRewardsGroup","rewardsReceiptItemList__barcode","rewardsReceiptItemList__competitiveProduct","rewardsReceiptItemList__description","rewardsReceiptItemList__discountedItemPrice","rewardsReceiptItemList__finalPrice","rewardsReceiptItemList__itemNumber","rewardsReceiptItemList__itemPrice","rewardsReceiptItemList__metabriteCampaignId","rewardsReceiptItemList__originalReceiptItemText","rewardsReceiptItemList__needsFetchReview","rewardsReceiptItemList__originalFinalPrice","rewardsReceiptItemList__originalMetaBriteBarcode","rewardsReceiptItemList__originalMetaBriteItemPrice","rewardsReceiptItemList__originalMetaBriteDescription","rewardsReceiptItemList__needsFetchReviewReason","rewardsReceiptItemList__originalMetaBriteQuantityPurchased","rewardsReceiptItemList__partnerItemId","rewardsReceiptItemList__priceAfterCoupon","rewardsReceiptItemList__pointsEarned","rewardsReceiptItemList__pointsNotAwardedReason","rewardsReceiptItemList__pointsPayerId","rewardsReceiptItemList__preventTargetGapPoints","rewardsReceiptItemList__quantityPurchased","rewardsReceiptItemList__rewardsGroup","rewardsReceiptItemList__rewardsProductPartnerId","rewardsReceiptItemList__targetPrice","rewardsReceiptItemList__userFlaggedBarcode","rewardsReceiptItemList__userFlaggedDescription","rewardsReceiptItemList__userFlaggedNewItem","rewardsReceiptItemList__userFlaggedPrice","rewardsReceiptItemList__userFlaggedQuantity","rewardsReceiptStatus","totalSpent","userId"
"5ff1e1eb0a720f0523000575","500","Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)","1609687531000","1609687531000","1609687531000","1609687536000","1609687531000","500.0","1609632000000","5","","","","4011","","ITEM NOT FOUND","","26.00","","26.00","","","False","","","","","","","1","","","","","True","5","","","","4011","","True","26.00","5","FINISHED","26.00","5ff1e1eacfcf6c399c274ae6"
"5ff1e1bb0a720f052300056b","150","Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)","1609687483000","1609687483000","1609687483000","1609687488000","1609687483000","150.0","1609601083000","2","","","","4011","","ITEM NOT FOUND","","1","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","FINISHED","11.00","5ff1e194b6a9d73a3a9f1052"
"","","","","","","","","","","","","","","028400642255","","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ","","10.00","","10.00","","","True","","","","","USER_FLAGGED","","2","","","Action not allowed for user and CPG","5332f5fbe4b03c9a25efd0ba","True","1","DORITOS SPICY SWEET CHILI SINGLE SERVE","5332f5fbe4b03c9a25efd0ba","","028400642255","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ","True","10.00","1","","",""
"5ff1e1f10a720f052300057a","5","All-receipts receipt bonus","1609687537000","1609687537000","","1609687542000","","5","1609632000000","1","","","","","","","","","","","","","False","","","","","","","1","","","","","True","","","","","4011","","True","26.00","3","REJECTED","10.00","5ff1e1f1cfcf6c399c274b0b"
"5ff1e1ee0a7214ada100056f","5","All-receipts receipt bonus","1609687534000","1609687534000","1609687534000","1609687539000","1609687534000","5.0","1609632000000","4","","","","4011","","ITEM NOT FOUND","","28.00","","28.00","","","False","","","","","","","1","","","","","True","4","","","","4011","","True","28.00","4","FINISHED","28.00","5ff1e1eacfcf6c399c274ae6"
"5ff1e1d20a7214ada1000561","5","All-receipts receipt bonus","1609687506000","1609687506000","1609687511000","1609687511000","1609687506000","5.0","1609601106000","2","","","","4011","","ITEM NOT FOUND","","1","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","FINISHED","1.00","5ff1e194b6a9d73a3a9f1052"
"","","","","","","","","","","","","","","1234","","","","2.56","","2.56","","","True","","","","","USER_FLAGGED","","2","","","","","True","3","","","","1234","","True","2.56","3","","",""
"5ff1e1e40a7214ada1000566","750","Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)","1609687524000","1609687524000","1609687525000","1609687530000","1609687525000","750.0","1609601124000","1","","","","4011","","ITEM NOT FOUND","","3.25","","3.25","","","False","","028400642255","","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ","","","1","","","Action not allowed for user and CPG","5332f5fbe4b03c9a25efd0ba","True","1","DORITOS SPICY SWEET CHILI SINGLE SERVE","5332f5fbe4b03c9a25efd0ba","","4011","","","","","FINISHED","3.25","5ff1e1e4cfcf6c399c274ac3"
"5ff1e1cd0a720f052300056f","5","All-receipts receipt bonus","1609687501000","1609687501000","1609687502000","1609687502000","1609687502000","5.0","1609687501000","1","","MISSION","TACO BELL TACO SHELLS","","","MSSN TORTLLA","2.23","2.23","","2.23","","MSSN TORTLLA","","","","","","","","1009","","","","","","1","","","","","","","","","FINISHED","2.23","5ff1e194b6a9d73a3a9f1052"
"5ff1e1a40a720f0523000569","500","Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)","1609687460000","1609687460000","1609687461000","1609687461000","1609687461000","500.0","1609027200000","1","","BRAND","","046000832517","","Old El Paso Mild Chopped Green Chiles, 4.5 Oz","","10.00","","10.00","","","","","","","","","","0","","","Action not allowed for user and CPG","5332f5f3e4b03c9a25efd0ae","","1","OLD EL PASO BEANS & PEPPERS","5332f5f3e4b03c9a25efd0ae","","","","","","","FINISHED","10.00","5ff1e194b6a9d73a3a9f1052"
